no,eclipse,ours
1,214,3095
2,72,788
3,58,18
4,116,35
5,41,37
6,46,1603
7,63,719
8,74,795
9,61,2
10,70,1
12,63,2707
13,63,367
14,64,1
15,69,1
16,55,5215
17,91,1560
18,129,1
19,69,2
21,79,379
22,57,2
23,76,2
24,102,2690
25,66,603
26,46,19
27,55,40
28,73,37
29,72,1604
30,57,606
31,105,758
32,62,2253
33,55,4577
34,73,229
35,149,867
36,69,676
39,96,363
40,68,80949
43,85,147
44,58,233
45,62,25
47,98,4
48,69,3
49,56,3
50,77,3
