no,eclipse,ours
1,207,40
2,210,21
4,536,46899
7,190,49
8,203,19
10,210,384
11,95,2
12,279,2468
13,80,25521
15,180,703
16,170,697
17,95,6
18,72,5
21,172,706
22,63,137475
23,86,124542
24,412,58
25,70,29
28,313,149
29,125,6012
30,126,9
31,111,5
32,504,527
33,62,349
38,99,3920
39,96,3805
40,142,6044
41,143,6530
42,258,708
43,188,4
44,96,3
45,94,5
47,167,86
48,53,2
49,70,10806
50,87,221
51,45,6410
52,92,265
53,153,5501
54,82,1497
70,159,3
