no,eclipse,ours
2,151,2245
3,269,3
4,113,379
5,80,161
6,188,8381
7,66,7316
10,120,17658
11,80,8642
12,64,14124
13,76,8060
14,65,3308
15,83,2935
16,71,4
17,63,588
21,112,79
25,111,70
29,97,76
30,77,72
31,76,66
32,81,87
33,96,68
51,196,121
52,77,66
53,57,66
56,118,61
