no,eclipse,ours
2562,98,13
2563,146,153
2564,152,183
2566,110,105
2567,105,27
2568,114,28
2569,117,61
2570,123,43
2571,105,510
2572,102,833
2573,137,85
2574,106,105
2575,100,60
2576,115,74
2577,94,73
2578,119,44
2579,93,1967
2580,110,389
2581,154,66
2582,104,531
2583,115,534
2584,128,393
2585,131,731
2586,131,334
2587,98,1980
2588,139,1928
2589,102,537
2590,137,983
2591,104,92
2592,155,864
2593,134,1288
2594,106,303
2595,115,238
2596,117,274
2597,114,246
2599,107,10
2600,129,10
2601,123,104
2602,111,9
2603,120,10
2605,145,10
2606,97,108
2607,123,97
2608,108,2066
2609,120,519
2610,133,311
2611,110,13
2612,119,416
2613,131,479
2614,115,161
2615,110,67
2616,105,98
2617,119,92
2618,117,92
2619,126,94
2620,130,69
2621,116,77
2622,126,97
2623,115,77
2624,107,93
2625,138,84
2626,156,60
2627,136,159
2628,106,14
2629,136,14
2630,135,15
2631,140,254
2632,113,741
2633,136,835
2634,133,580
2635,107,81
2636,108,43
2638,127,280
2640,135,156
2641,153,175
2642,148,168
2643,116,42
2647,117,58
2650,126,139
2651,103,15
2652,125,66
2653,104,70
2654,109,10
2656,129,66
2657,114,69
2658,90,9
2660,137,73
2661,109,10
2662,139,15
2663,119,15
2664,135,71
2665,137,15
2666,125,4660
2667,102,14
2668,154,665
2669,134,17966
2670,122,72
2671,103,4371
2672,118,8754
2674,126,16
2676,137,13
2677,134,4828
2678,138,1140
2679,101,359
2680,131,7
2681,124,56
2682,111,55
2683,98,8
2685,141,55
2686,97,57
2687,119,8
2689,160,53
2690,109,7
2691,140,13
2692,123,13
2693,116,95
2694,134,14
2695,134,2936
2696,102,69
2697,166,758
2699,139,71
2700,135,14
2701,145,817
2702,108,8
2703,128,52
2704,105,51
2705,126,8
2707,127,54
2708,116,51
2709,119,7
2711,144,52
2712,92,8
2723,122,19
2725,146,25
2726,136,18
2727,157,21
2728,160,811
2729,128,20
2730,140,3030
2732,143,130
2734,149,1534
2735,133,20
2736,178,116
2737,129,94
2738,142,19
2739,163,129
2740,148,125
2743,142,127
2744,133,92
2745,138,128
2746,148,108
2747,138,92
2748,131,2344
2749,114,97
2750,116,114
2751,118,237
2752,149,28799
2753,125,113
2754,117,182
2755,141,9594
2756,136,166
2757,140,270
2759,136,21
2760,148,2683
2761,130,317
2762,134,1828
2763,134,95
2764,128,1998
2765,117,185
2768,128,99
2769,166,1614
2770,99,8
2771,128,9
2772,117,60
2773,129,58
2774,95,58
2776,128,59
2777,125,57
2778,98,9
2780,150,8
2781,112,60
2782,118,8
2783,143,20282
2784,124,3307
2785,155,4120
2786,112,18
2787,111,762
2789,128,126
2792,142,61
2794,133,84
2795,137,127
2796,137,296
2797,106,61
2799,147,64
2801,109,243
2802,118,125
2803,186,59
2804,116,114
2805,136,146
2806,115,87
2808,133,130
2809,127,85
2810,102,85
2811,144,123
2812,114,61
2813,118,150
2814,143,1454
2815,105,2098
2816,104,1411
2817,102,775
2818,136,1441
2819,123,12
2820,130,13
2821,117,1411
2822,105,13
2823,148,13
2824,113,13
2825,148,13
2826,131,2107
2827,102,2106
2828,126,1482
2829,106,86
2830,142,13
2831,141,1424
2832,108,1514
2833,129,12
2834,141,12
2836,133,13
2837,138,13
2841,122,297
2842,115,73
2843,129,50
2844,129,7
2845,98,51
2848,110,52
2849,114,49
2850,129,8
2851,110,50
2852,113,9
2854,143,89
2855,124,2554
2856,145,1084
2857,126,94
2858,125,99
2859,120,72
2860,210,95
2861,121,71
2862,110,71
2863,121,100
2864,143,96
2865,108,99
2866,138,68
2867,146,100
2868,137,70
2869,143,97
2870,121,72
2871,119,73
2872,140,70
2874,129,102
2875,119,188
2877,143,96
2879,144,83
2880,137,100
2882,151,83
2883,125,82
2884,144,110
2886,134,82
2887,124,59
2890,146,79
2891,108,106
2892,124,73
2895,142,100
2896,122,214
2897,132,224
2898,132,161
2899,145,108
2900,113,73
2901,118,71
2902,118,59
2903,132,73
2904,124,162
2905,115,79
2906,128,120
2907,117,173
2908,115,90
2909,128,52
2910,136,72
2911,103,89
2912,156,186
2913,151,736
2914,108,44
2915,131,45
2916,129,227
2917,105,201
2918,125,1131
2919,100,125
2921,160,787
2922,99,62
2923,94,8
2924,128,37
2925,110,53
2926,138,449
2927,153,425
2928,152,9486
2929,144,8340
2930,177,307
2931,141,4577
2932,142,4203
2933,164,313
2934,140,903
2935,140,360
2936,154,574
2937,172,1892
2938,146,1149
2939,137,3470
2940,139,1937
2941,138,1140
2942,146,506
2943,148,605
2944,150,1128
2945,146,669
2947,152,886
2948,121,1139
2949,123,1710
2950,106,121
2951,163,1538
2952,105,652
2953,138,64
2954,143,205
2955,128,96
2956,114,91
2957,141,65
2958,123,90
2959,134,131
2960,147,63
2961,134,89
2962,139,63
2963,120,234
2964,129,83
2965,143,255
2966,133,82
2967,126,283
2968,146,110
2970,137,239
2971,124,302
2972,112,38
2973,135,54
2974,131,56
2975,105,95
2976,115,8
2977,124,78
2978,113,38
2979,148,566
2980,140,477
2983,160,1375
2984,143,611
2985,123,2558
2986,132,485
2987,120,15
2988,132,18
2989,121,8
2990,120,10
2991,161,58
2992,146,9
2993,133,60
2995,134,11
2996,126,1704
2998,179,132
2999,159,1241
3000,154,1555
3001,161,30
3002,203,281
3003,171,626
3004,163,3979
3005,149,1148
3006,143,629
3007,157,154
3008,139,187
3009,150,133
3010,149,247
3011,177,134
3012,160,280
3013,158,136
3014,164,671
3015,164,2246
3016,152,9608
3017,139,8653
3018,167,2698
3019,143,5532
3020,152,351
3021,142,31
3022,166,358
3023,155,2188
3024,172,30
3025,157,31
3026,162,2362
3027,147,32
3028,181,32
3029,151,305
3030,158,131
3031,143,209
3032,178,134
3033,145,135
3034,147,134
3036,157,361
3037,169,251
3038,158,371
3039,157,381
3040,164,343
3041,152,230
3042,168,388
3043,155,252
3044,161,369
3045,156,388
3046,157,315
3047,167,261
3048,160,235
3049,145,365
3050,146,218
3051,157,223
3052,165,459
3053,159,30
3054,166,178
3055,145,132
3056,166,137
3057,145,208
3058,134,17
3059,141,85
3060,143,604
3061,130,17
3063,145,17
3064,157,17
3065,172,17
3066,113,115
3067,140,18
3069,197,1243
3070,178,681
3071,164,1130
3072,175,682
3073,175,2721
3074,156,40
3075,209,912
3076,193,37
3077,190,698
3078,173,39
3079,180,41
3080,196,41
3081,195,39
3082,191,40
3083,188,46
3084,205,41
3085,189,40
3086,168,961
3087,170,47454
3088,189,5669
3089,158,40
3090,180,40
3091,214,622
3092,178,1839
3093,165,39
3094,201,40
3095,162,39
3096,192,38
3097,196,717
3098,190,41
3099,164,39
3100,175,40
3101,191,39
3102,189,39
3103,192,949
3104,179,35
3105,172,40
3106,166,442
3107,177,37
3108,193,2375
3109,171,37
3110,185,36
3111,209,38
3112,201,38
3113,177,38
3114,189,478
3115,179,36
3116,169,2357
3117,162,40
3118,164,6096
3119,161,2808
3120,176,566
3121,173,765
3122,185,665
3123,180,662
3124,211,750
3125,166,1187
3126,161,2257
3127,168,966
3128,194,805
3129,189,732
3130,177,39
3131,170,735
3132,177,1159
3133,165,1500
3134,174,199
3135,176,1074
3136,180,557
3137,176,39
3138,184,169
3139,180,1714
3140,162,1748
3141,190,1082
3142,180,3022
3143,190,555
3144,174,2262
3145,161,5458
3146,173,396
3147,177,38
3148,176,466
3150,171,172
3151,187,240
3152,129,90
3153,112,89
3154,137,13
3155,135,175
3156,136,64
3157,132,116
3160,147,89
3161,109,62
3162,126,83
3163,154,62
3164,118,90
3165,137,921
3166,139,97
3167,131,56
3168,142,93
3169,108,163
3170,106,104
3171,122,194
3172,165,16
3173,147,193
3174,138,134
3175,140,21
3176,142,22
3178,161,679
3179,143,5763
3180,144,153
3182,162,21
3183,162,21
3185,143,22
3186,160,6992
3187,161,22
3189,151,397
3190,161,6834
3191,167,21
3193,164,20
3194,149,21
3197,155,21
3198,173,21
3200,154,996
3201,150,230
3203,166,22
3205,185,23
3207,163,137
3208,164,21
3210,158,438
3213,147,395
3214,141,103
3216,152,22
3217,161,770
3218,155,19
3222,162,154
3224,148,139
3225,157,102
3226,141,245
3227,152,20
3228,158,22
3230,151,61
3233,173,964
3234,150,1033
3235,146,835
3236,135,162
3237,123,207
3238,122,77
3240,161,165
3241,142,120
3242,144,41
3243,116,54
3244,157,54
3245,106,154
3247,137,64
3248,119,55
3249,135,56
3251,162,206
3252,174,1209
3253,152,1385
3254,165,35
3255,165,308
3256,179,909
3257,169,301
3258,161,1737
3259,166,723
3260,167,270
3261,170,201
3262,169,161
3263,161,388
3264,157,209
3265,165,315
3266,162,208
3267,149,703
3268,160,2012
3269,173,9884
3270,161,8747
3271,156,6521
3272,184,6391
3273,154,364
3274,173,33
3275,183,964
3276,151,1891
3277,167,40
3278,155,34
3279,202,2610
3280,168,36
3281,186,31
3282,171,316
3283,157,146
3284,207,280
3285,156,201
3286,185,145
3287,179,197
3289,167,393
3290,169,264
3291,158,381
3292,155,431
3293,173,363
3294,166,249
3295,161,266
3296,165,265
3297,164,399
3298,157,267
3299,175,333
3300,166,272
3301,168,247
3302,161,245
3303,173,379
3304,158,232
3305,203,475
3306,170,30
3307,187,141
3308,178,144
3309,174,199
3310,176,174
3311,136,95
3312,128,173
3313,151,96
3314,117,97
3315,151,94
3316,147,94
3317,136,117
3318,133,95
3319,134,67
3320,129,95
3321,155,236
3322,127,772
3323,124,95
3324,124,38
3325,144,8
3326,148,10
3327,133,56
3328,119,8
3329,124,56
3332,150,1555
3334,174,78
3335,131,143
3336,133,160
3337,158,283
3338,151,108
3340,164,306
3341,153,169
3342,205,1214
3343,171,692
3344,187,993
3345,182,653
3346,185,2710
3347,174,37
3348,225,921
3349,174,958
3350,185,41
3351,176,38
3352,201,1575
3353,167,4556
3354,181,38
3355,206,42
3356,181,41
3357,207,41
3358,186,41
3359,225,40
3360,172,35184
3361,200,3801
3362,169,40
3363,167,811
3364,184,688
3365,192,40
3366,186,41
3367,194,40
3368,170,39
3369,199,39
3370,174,703
3371,202,42
3372,171,42
3373,167,41
3374,186,40
3375,204,41
3376,170,41
3377,173,40
3378,169,42
3379,186,374
3380,167,40
3381,192,3204
3382,187,41
3383,175,41
3384,221,394
3385,189,1139
3386,222,655
3387,192,206
3388,217,37
3389,204,1774
3390,166,40
3391,191,3087
3392,174,1129
3393,171,567
3394,199,762
3395,182,664
3396,171,392
3397,182,746
3398,175,1231
3399,169,13268
3400,192,999
3401,184,745
3402,185,3283
3403,177,1558
3404,168,1682
3405,185,1150
3406,168,1139
3407,167,199
3408,186,39
3409,180,1637
3410,171,40
3411,169,176
3412,184,1556
3413,170,1763
3414,178,1048
3415,185,1337
3416,169,547
3417,181,2250
3418,174,5510
3419,179,661
3420,178,39
3421,205,734
3423,171,242
3424,183,178
3425,203,16
3426,144,77
3427,121,650
3428,156,15
3430,148,15
3431,173,15
3432,138,15
3433,140,109
3434,144,18
3436,148,80
3437,126,58
3438,143,11
3439,152,122
3440,144,78
3441,124,114
3444,147,61
3445,138,59
3446,117,61
3447,155,70
3448,169,58
3449,130,76
3450,134,74
3451,133,92
3452,128,171
3453,148,11
3454,131,9
3455,140,71
3456,126,51
3457,131,11
3458,161,16
3459,160,73
3460,142,209
3461,122,143
3462,142,236
3463,132,242
3464,171,154
3465,142,138
3466,128,126
3467,146,491
3468,132,279
3469,128,328
3470,131,267
3471,121,94
3472,119,134
3473,150,231
3474,141,54
3476,138,152
3478,147,199
3479,148,13
3481,141,13
3482,150,177
3483,131,116
3484,152,119
3485,146,647
3486,132,1305
3487,145,16
3488,165,193
3489,154,186
3491,169,251
3492,162,183
3493,171,22
3494,151,21
3496,145,696
3497,151,2277
3498,168,103
3499,159,22
3500,185,20
3503,137,21
3504,156,4817
3505,136,20
3507,167,403
3508,167,280
3509,173,1462
3510,173,20
3512,165,21
3513,160,21
3514,183,20
3516,143,23
3517,146,21
3518,193,21
3519,152,229
3521,167,20
3522,152,20
3523,224,20
3525,135,21
3528,167,21
3531,157,359
3532,148,21
3535,142,652
3536,162,23
3540,151,196
3542,158,137
3543,166,138
3544,153,462
3545,143,20
3546,148,22
3547,178,21
3549,142,421
3550,142,494
3551,156,14
3553,155,474
3554,126,2567
3555,157,967
3556,164,14
3557,165,14
3558,138,1053
3559,135,1605
3560,113,173
3561,149,1383
3562,122,333
3563,146,594
3564,154,400
3565,168,11414
3566,142,7337
3567,162,184
3568,166,4555
3569,151,4344
3570,157,475
3571,146,862
3572,147,493
3573,149,553
3574,173,1818
3575,150,1162
3576,148,1789
3577,149,1119
3578,135,595
3579,163,688
3580,158,461
3581,150,879
3582,165,400
3584,166,1080
3585,115,852
3586,132,52
3588,148,1233
3589,139,899
3590,126,158
3591,134,205
3592,143,341
3593,135,109
3594,121,130
3595,114,529
3596,115,135
3597,131,140
3598,153,96
3600,135,75
3601,135,110
3604,130,53
3606,135,8
3607,131,28
3608,134,38
3612,185,269
3613,145,95
3614,151,545
3615,154,320
3616,133,122
3617,136,17
3618,135,25
3639,119,71
3640,115,28
3641,128,124
3647,129,156
3648,146,97
3649,129,155
3650,138,196
3651,125,155
3652,134,192
3653,133,37
3654,128,31
3656,142,113
3657,143,115
3658,125,184
3660,151,151
3661,128,74
3666,169,49
3668,163,162
3669,116,2484
3670,118,3858
3671,139,1842
3674,162,293
3675,134,230
3676,135,193
3677,143,127
3678,138,90
3679,221,16
3680,185,88
3681,150,8656
3682,139,4706
3683,141,1506
3684,142,3675
3685,157,679
3686,151,12
3687,139,13
3688,125,13
3689,139,548
3690,154,21771
3691,135,38875
3692,155,346
3693,143,138
3694,159,1700
3695,154,81
3696,184,85
3697,150,117
3698,146,17
3699,144,1288
3700,120,457
3702,144,732
3704,144,945
3705,143,293
3706,157,335
3707,128,5084
3709,155,17
3710,134,17
3711,134,1176
3712,127,305
3713,149,107
3714,139,60
3715,137,10428
3716,179,13
3717,183,548
3718,150,155
3719,144,1294
3720,128,98
3721,175,56
3722,144,294
3724,174,192
3725,127,105
3726,119,78
3727,169,163
3728,144,785
3729,162,219
3730,142,176
3732,154,199
3733,176,206
3734,149,120
3735,154,123
3738,157,250
3739,146,88
3740,150,86
3743,168,91
3746,162,269
3749,187,90
3750,166,255
3753,155,394
3754,164,90
3756,163,309
3761,143,87
3763,173,311
3764,160,396
3765,161,293
3766,144,124
3767,128,390
3768,134,713
3769,124,128
3770,153,200
3771,147,1271
3772,118,299
3773,130,187
3774,136,180
3775,149,261
3776,150,272
3777,163,180
3778,165,20
3779,173,263
3780,180,21
3781,169,256
3782,126,45
3783,126,43
3784,150,309
3785,122,61
3786,156,44
3787,154,41
3788,149,38
3789,133,50
3790,152,49
3791,152,80
3792,143,10
3793,134,119
3794,150,56
3795,151,53
3796,136,97
3797,135,52
3798,140,215
3799,142,304
3800,159,45
3801,156,74
3802,123,93
3803,160,196
3804,132,140
3805,129,79
3806,160,11
3807,147,47
3808,140,77
3809,212,134
3811,156,227
3812,133,208
3815,162,76
3817,170,41
3819,164,115
3820,143,54
3821,148,155
3822,138,393
3823,143,14
3824,160,62
3825,127,77
3826,148,144
3827,160,13
3828,150,64
3829,127,116
3830,145,88
3831,124,93
3832,162,154
3833,175,288
3834,120,133
3835,170,98
3836,166,150
3837,144,110
3838,126,130
3839,136,81
3840,143,376
3841,148,101
3842,146,103
3843,154,91
3844,141,75
3845,139,54
3846,163,100
3847,140,304
3848,157,13
3849,158,132
3850,136,121
3851,148,14
3852,154,13
3853,143,101
3854,185,374
3855,134,64
3856,150,90
3857,191,90
3858,167,87
3859,159,63
3860,142,90
3861,136,144
3862,143,3309
3863,170,91
3864,152,853
3865,138,143
3866,166,4172
3867,146,125
3868,160,7639
3869,158,4067
3870,127,201
3871,138,4295
3873,163,247
3874,145,432
3875,161,215
3879,177,588
3881,157,636
3882,159,178
3890,153,71
3891,139,118
3892,122,51
3893,143,161
3894,142,67
3895,137,213
3896,132,131
3898,141,138
3899,140,92
3900,146,70
3901,138,70
3902,139,102
3903,136,74
3904,135,71
3905,157,70
3906,181,234
3907,151,105
3908,171,106
3909,143,151
3910,170,135
3911,141,151
3912,151,154
3913,140,78
3914,165,124
3915,157,137
3916,165,76
3917,161,125
3918,146,107
3919,167,194
3920,150,331
3921,149,1631
3922,131,1508
3923,151,332
3924,135,106
3925,137,323
3926,132,142
3927,169,225
3928,150,5955
3930,142,101
3931,138,748
3932,154,291
3933,139,6191
3934,148,8251
3935,142,115
3936,138,121
3937,151,49
3939,202,177
3940,143,116
3941,135,260
3942,148,114
3943,131,127
3944,183,269
3945,136,116
3946,159,112
3947,147,84
3948,128,115
3949,157,209
3950,171,82
3951,141,1377
3952,123,1896
3953,122,259
3956,165,205
3957,160,308
3958,167,128
3959,173,3315
3960,176,122
3961,152,90
3966,147,121
3967,174,149
3970,140,89
3976,144,128
3977,170,122
3978,166,289
3979,167,121
3980,160,138
3981,159,122
3983,141,19
3984,177,122
3986,164,119
3987,165,88
3988,161,116
3989,166,118
3997,192,221
3999,183,108
4005,166,445
4006,161,312
4008,165,168
4009,136,139
4010,147,118
4011,164,4191
4012,138,120
4014,183,123
4015,170,116
4016,174,124
4017,146,123
4018,152,125
4019,195,241
4020,171,121
4021,144,4718
4023,168,121
4024,159,138
4025,168,19
4026,185,167
4027,178,340
4028,191,2536
4029,157,119
4030,171,118
4031,166,89
4032,204,88
4033,147,13
4034,152,1394
4035,150,4153
4037,154,393
4038,136,70
4039,148,601
4040,163,530
4041,141,94
4051,151,90
4058,169,190
4062,152,91
4067,140,121
4068,156,212
4070,174,599
4071,151,19
4072,140,727
4073,169,18
4074,173,262
4075,158,122
4076,173,253
4077,185,88
4078,167,87
4080,168,272
4082,139,18
4083,157,182
4086,168,10294
4087,177,2254
4088,135,2271
4090,156,79
4091,159,92
4092,131,160
4093,145,2331
4094,147,1389
4096,184,92
4097,141,122
4098,173,68
4100,153,99
4101,123,55
4102,140,55
4103,137,77
4104,175,158
4106,167,18
4107,156,262
4108,142,108
4110,225,80
4111,130,144
4112,132,194
4113,137,41
4114,139,39
4115,129,34
4116,155,96
4117,147,96
4118,122,99
4119,157,79
4120,153,109
4121,142,102
4122,135,181
4123,131,113
4124,152,89
4125,151,97
4128,140,11
4129,211,12
4131,202,647
4132,144,84
4135,155,150
4136,147,168
4137,135,133
4138,161,63
4139,147,167
4140,136,91
4141,159,89
4142,154,194
4143,166,552
4144,135,61
4145,145,62
4152,164,626
4153,168,95
4156,147,10
4159,207,60
4163,140,152
4164,149,147
4169,153,146
4170,142,151
4175,171,147
4176,161,155
4181,162,61
4182,141,43
4183,153,75
4184,244,47
4191,236,481
4192,146,300
4193,140,206
4194,133,170
4195,170,38
4198,151,604
4199,152,605
4203,167,45
4206,159,298
4207,142,138
4208,124,37
4209,159,5084
4211,167,39
4212,144,41
4213,186,71
4214,154,135
4215,164,148
4216,140,101
4217,152,140
4218,153,1351
4219,131,12
4220,180,11
4221,177,1143
4222,134,11
4223,154,13
4225,161,12
4226,130,643
4229,177,128
4230,138,1085
4231,132,91
4232,153,1634
4233,130,1480
4234,131,50
4235,147,42
4236,143,39
4237,139,112
4238,150,40
4239,131,112
4240,128,41
4241,161,136
4242,160,108
4243,148,183
4244,134,40
4245,161,98
4246,163,109
4249,179,2150
4250,173,114
4251,184,115
4252,172,196
4253,254,158
4254,185,151
4255,180,116
4256,180,177
4257,185,113
4258,173,221
4259,162,222
4261,239,159
4262,179,118
4263,173,160
4264,180,159
4265,176,157
4266,171,120
4267,184,239
4268,174,162
4269,169,195
4270,185,158
4271,182,27
4272,174,26
4273,177,26
4274,172,27
4275,195,27
4276,185,24
4277,169,163
4278,173,25
4280,178,161
4281,168,157
4282,173,156
4283,189,116
4285,171,168
4286,176,25
4289,218,201
4290,186,199
4291,197,140
4292,194,142
4293,185,144
4294,196,194
4295,185,194
4296,192,275
4297,195,263
4300,190,197
4301,196,223
4302,218,203
4303,185,32
4305,189,33
4306,214,35
4307,203,34
4308,196,158
4309,209,149
4310,198,219
4311,183,197
4312,179,148
4313,204,300
4314,179,182
4315,210,194
4316,180,271
4317,197,441
4318,174,322
4319,203,353
4320,200,598
4321,211,316
4322,190,196
4323,184,253
4324,200,276
4325,180,193
4326,190,364
4327,189,795
4328,185,945
4329,197,362
4330,200,760
4331,191,945
4332,190,273
4333,195,250
4334,191,326
4335,197,139
4336,199,533
4337,195,363
4338,172,350
4339,189,194
4340,204,195
4341,226,198
4342,185,290
4343,179,115
4344,203,169
4345,176,247
4346,191,293
4347,190,258
4348,189,168
4349,184,293
4350,181,193
4351,195,194
4352,206,191
4353,178,193
4354,180,309
4355,194,135
4356,178,187
4357,130,5
4358,176,5
