no,eclipse,ours
650,142,194253
651,155,29746
652,142,30039
653,113,254
654,126,450
656,97,65483
660,112,31
661,121,32
662,113,190
663,125,204
664,98,282108
665,145,127310
666,125,89038
668,107,18357
669,98,162804
671,128,35760
674,159,62628
676,171,60351
677,100,60525
678,101,17940
679,130,35667
680,101,35581
682,125,196
683,113,363
685,113,32946
686,136,17943
687,127,144212
688,98,35813
691,129,437
692,161,544
693,107,35537
695,102,31
697,124,219
698,103,345
700,151,278
702,112,288
703,106,135
704,109,188
705,119,35650
706,157,18072
707,129,18066
709,100,102577
712,103,18007
713,100,113165
714,96,35626
715,146,219892
716,111,548
717,104,211675
718,145,18000
720,144,36359
721,150,36960
722,138,35781
723,146,111824
725,113,594
726,114,264646
727,141,264541
728,216,95148
729,104,60587
731,99,157
732,113,127340
733,102,67880
734,125,605
735,106,189
736,116,120577
737,150,137
738,113,60306
739,146,135
740,112,60289
742,60,182
743,69,11
744,65,120258
745,73,180284
746,86,120418
747,66,18037
748,124,415
750,87,624
751,68,100
754,115,93
755,88,698
757,69,133
758,80,49788
759,79,113090
760,120,15217
761,98,292044
762,133,111685
763,141,273398
764,131,18295
765,93,341
766,65,35902
768,67,14222
769,77,89375
770,124,293171
773,92,291
774,92,14
778,127,60220
779,80,60376
780,127,120343
781,82,120232
783,128,180154
784,116,120110
785,79,480682
788,109,180446
789,132,120204
790,129,540585
791,101,60523
792,102,664
793,94,120186
794,80,120222
798,67,118
800,83,709372
802,85,50
803,81,1194403
804,62,120176
805,66,240542
806,120,120417
807,91,29483
808,94,46609
809,78,29442
810,124,29631
811,120,280
812,87,92802
813,74,121911
814,79,731932
815,126,411
816,98,1277979
817,82,59374
818,78,59214
819,105,409785
820,81,629188
821,124,120187
822,104,46721
823,125,279
824,111,40932
825,74,81547
826,95,627842
827,83,11846
828,77,150102
829,104,149920
830,109,120470
831,76,61159
832,79,120095
833,77,136
836,96,226613
839,104,227412
840,97,120184
842,108,240249
844,112,213850
845,80,68289
846,81,289
848,78,60200
850,78,207453
852,100,231
853,122,108
854,108,79
855,103,82
856,102,77
857,74,82
858,98,17
859,73,95
860,107,278
861,66,57
862,98,327
863,115,120
864,75,124
865,85,122
866,84,258
867,82,74
868,93,152
869,75,184
870,71,125
871,96,120
872,84,84
873,78,60
874,98,24760
875,141,830
876,70,2940
877,103,105
878,108,1224
879,70,99
880,80,320
881,94,198
882,77,224
883,86,549
884,90,13
885,71,145
886,116,174
887,78,1881
888,68,2567
889,66,311
890,86,739
891,83,875
893,145,207
894,66,95
895,67,3243
897,93,303
901,82,3966
903,82,174
904,58,10
905,98,11
906,61,105
907,84,184
908,84,257
909,133,251
910,114,425
912,72,158
913,104,267
914,92,212
915,82,17
916,105,18
917,84,19
919,102,381
920,101,16
921,80,2686
923,80,16
924,112,1559
925,69,1465
927,100,17
928,93,167
929,80,18
930,71,84
931,61,43
932,106,389
933,72,169
934,90,2033
935,88,419
936,87,571
937,105,122
938,102,231
939,130,186
940,84,710
941,99,251
942,108,57
943,76,1708
944,106,227
945,71,222
946,89,176
947,82,160
948,92,137
949,99,174
950,109,268
951,109,163
953,122,112
954,77,161
955,89,155
956,90,246
957,89,272
958,96,173
959,109,263
960,84,227
961,104,119
